name,type,state,county,city,zip
Dallas County Sheriff's Office,Sheriff's office,TX,Dallas,Dallas,75207
Tarrant County Sheriff's Office,Sheriff's office,TX,Tarrant,Fort Worth,76102
Richmond County Sheriff's Office,Sheriff's office,GA,Richmond,Augusta,30901
Corpus Christi Police Department,Local police department,TX,Nueces,Corpus Christi,78469
Loudoun County Sheriff's Office,Sheriff's office,VA,Loudoun,Leesburg,20175
Fort Wayne Police,Local police department,IN,Allen,Fort Wayne,46803
Will County Sheriff's Office,Sheriff's office,IL,Will,Joliet,60432
Leon County Sheriff's Office,Sheriff's office,FL,Leon,Tallahassee,32302
Washington Metropolitan Area Transit Authority Police,Special jurisdiction,DC,District of Columbia,Washington,20001
Caddo Parish Sheriff's Office,Sheriff's office,LA,Caddo,Shreveport,71101
Madison Police Department,Local police department,WI,Dane,Madison,53703
New Haven Police Department,Local police department,CT,New Haven,New Haven,06519
Cobb County Sheriff's Office,Sheriff's office,GA,Cobb,Marietta,30060
Chattanooga Police Department,Local police department,TN,Hamilton,Chattanooga,37406
Salt Lake City Police Department,Local police department,UT,Salt Lake,Salt Lake City,84114
Ouachita Parish Sheriff's Office,Sheriff's office,LA,Ouachita,Monroe,71201
Laredo Police Department,Local police department,TX,Webb,Laredo,78041
Virginia Beach (City) Sheriff's Office,Sheriff's office,VA,Virginia Beach City,Virginia Beach,23456
Howard County Police Department,Local police department,MD,Howard,Ellicott City,21043
Richmond (City) Sheriff's Office,Sheriff's office,VA,Richmond City,Richmond,23223
Glendale Police Department,Local police department,AZ,Maricopa,Glendale,85301
Essex County Sheriff's Office,Sheriff's office,NJ,Essex,Newark,07102
Bridgeport Police Department,Local police department,CT,Fairfield,Bridgeport,06607
Dayton Police Department,Local police department,OH,Montgomery,Dayton,45402
Hawaii (County) Police Department,Local police department,HI,Hawaii,Hilo,96720
California Dept. of Justice,Special jurisdiction,CA,Sacramento,,
Scottsdale Police Dept,Local police department,AZ,Maricopa,Scottsdale,85251
Nevada Highway Patrol,Primary state law enforcement agency,NV,Carson,Carson City,89711
Newport News Police Department,Local police department,VA,Newport News City,Newport News,23605
Stockton Police Department,Local police department,CA,San Joaquin,Stockton,95202
Norfolk (City) Sheriff's Office,Sheriff's office,VA,Norfolk City,Norfolk,23510
Martin County Sheriff's Office,Sheriff's office,FL,Martin,Stuart,34994
Washoe County Sheriff's Office,Sheriff's office,NV,Washoe,Reno,89512
St. Tammany Parish Sheriff's Office,Sheriff's office,LA,St. Tammany,Covington,70434
Sarasota County Sheriff's Office,Sheriff's office,FL,Sarasota,Sarasota,34230
Hartford Police Department,Local police department,CT,Hartford,Hartford,06120
Arapahoe County Sheriff's Office,Sheriff's office,CO,Arapahoe,Centennial,80112
Suffolk County Sheriff's Office,Sheriff's office,MA,Suffolk,Boston,02118
Huntsville Police Department,Local police department,AL,Madison,Huntsville,35804
