name,type,state,county,city,zip
Hoschton Police Department,Local police department,GA,Jackson,Hoschton,30548
Lakeland Police Department,Local police department,GA,Lanier,Lakeland,31635
Penn State University - Harrisburg Police,Special jurisdiction,PA,Dauphin,Middletown,17057
Purdue University - Westville Police,Special jurisdiction,IN,La Porte,Westville,46391
Ashland Police Department,Local police department,AL,Clay,Ashland,36251
Jackson Police Department,Local police department,MN,Jackson,Jackson,56143
Webb County Constable Pct. 4,Constable/marshal,TX,Webb,Laredo,78045
Lynn County Sheriff's Office,Sheriff's office,TX,Lynn,Tahoka,79373
Troup County Marshal's Office,Constable/marshal,GA,Troup,Lagrange,30240
East Granby Police Department,Local police department,CT,Hartford,East Granby,06026
Dos Palos Police Department,Local police department,CA,Merced,Dos Palos,93620
University of Arkansas - Fort Smith Police Dept,Special jurisdiction,AR,Sebastian,Fort Smith,72913
Camanche Police Department,Local police department,IA,Clinton,Camanche,52730
Brier Police Department,Local police department,WA,Snohomish,Brier,98036
South Bethany Police Department,Local police department,DE,Sussex,South Bethany,19930
Thorsby Police Department,Local police department,AL,Chilton,Thorsby,35171
Robeson Township Police Department,Local police department,PA,Berks,Birdsboro,19508
Richardson County Sheriff's Office,Sheriff's office,NE,Richardson,Falls City,68355
Clearwater Police Department,Local police department,KS,Sedgwick,Clearwater,67026
Boothbay Harbor Police Department,Local police department,ME,Lincoln,Boothbay Harbor,04538
Medina Township Police Department,Local police department,OH,Medina,Medina,44256
Spooner Police Department,Local police department,WI,Washburn,Spooner,54801
Epsom Police Department,Local police department,NH,Merrimack,Epsom,03234
Washington Township Police Department,Local police department,PA,Westmoreland,Apollo,15613
Shorewood Hills Police Department,Local police department,WI,Dane,Madison,53705
Grandview Plaza Police Department,Local police department,KS,Geary,Grandview Plaza,66441
Pendleton County Sheriff's Office,Sheriff's office,KY,Pendleton,Falmouth,41040
Thomas County Sheriff's Office,Sheriff's office,KS,Thomas,Colby,67701
Brusly Police Department,Local police department,LA,West Baton Rouge,Brusly,70719
Geneva Township Police Department,Local police department,WI,Walworth,Lake Geneva,53147
Hesston Police Department,Local police department,KS,Harvey,Hesston,67062
Croswell Police Department,Local police department,MI,Sanilac,Croswell,48422
Antlers Police Department,Local police department,OK,Pushmataha,Antlers,74523
Kountze Police Department,Local police department,TX,Hardin,Kountze,77625
Ramsey County Sheriff's Office,Sheriff's office,ND,Ramsey,Devils Lake,58301
Blue Earth Police Department,Local police department,MN,Faribault,Blue Earth,56013
Reserve Township Police Department,Local police department,PA,Allegheny,Pittsburgh,15212
McCulloch County Sheriff's Office,Sheriff's office,TX,McCulloch,Brady,76825
Sardis Police Department,Local police department,MS,Panola,Sardis,38666
Versailles Police Department,Local police department,OH,Darke,Versailles,45380
West Earl Township Police Department,Local police department,PA,Lancaster,Brownstown,17508
Santee Police Department,Local police department,SC,Orangeburg,Santee,29142
Moorefield Police Department,Local police department,WV,Hardy,Moorefield,26836
Girard Police Department,Local police department,KS,Crawford,Girard,66743
Far Hills Police,Local police department,NJ,Somerset,Far Hills,07931
West Wildwood Police,Local police department,NJ,Cape May,West Wildwood,08260
Grangeville Police Department,Local police department,ID,Idaho,Grangeville,83530
Pelahatchie Police Department,Local police department,MS,Rankin,Pelahatchie,39145
McKean County Sheriff's Dept.,Sheriff's office,PA,McKean,Smethport,16740
Dexter Police Department,Local police department,ME,Penobscot,Dexter,04930
Nottingham Police Department,Local police department,NH,Rockingham,Nottingham,03290
South Congaree Police Department,Local police department,SC,Lexington,West Columbia,29172
Huntingdon County Sheriff's Office,Sheriff's office,PA,Huntingdon,Huntingdon,16652
Pawnee Police Department,Local police department,OK,Pawnee,Pawnee,74058
Dunnellon Police Department,Local police department,FL,Marion,Dunnellon,34432
Audubon Park Police Department,Local police department,KY,Jefferson,Louisville,40213
Rollingwood Police Department,Local police department,TX,Travis,Rollingwood,78746
Constantine Police Department,Local police department,MI,St. Joseph,Constantine,49042
Waite Hill Police Department,Local police department,OH,Lake,Waite Hill,44094
Coldwater Police Department,Local police department,OH,Mercer,Coldwater,45828
Corrigan Police Department,Local police department,TX,Polk,Corrigan,75939
Parmer County Sheriff's Office,Sheriff's office,TX,Parmer,Farwell,79325
Vanceburg Police Department,Local police department,KY,Lewis,Vanceburg,41179
Cumberland Police Department,Local police department,KY,Harlan,Cumberland,40823
Eminence Police Department,Local police department,KY,Henry,Eminence,40019
Manvel Police Department,Local police department,TX,Brazoria,Manvel,77578
Savannah Police Dept,Local police department,MO,Andrew,Savannah,64485
Dewitt Police Department,Local police department,MI,Clinton,Dewitt,48820
Clayton Township Police Department,Local police department,MI,Genesee,Swartz Creek,48473
Palisade Police Dept,Local police department,CO,Mesa,Palisade,81526
Gordonsville Police Department,Local police department,VA,Orange,Gordonsville,22942
Electra Police Department,Local police department,TX,Wichita,Electra,76360
Colfax Police Department,Local police department,WA,Whitman,Colfax,99111
Clay Center Police Department,Local police department,KS,Clay,Clay Center,67432
Milbank Police Department,Local police department,SD,Grant,Milbank,57252
Custer County Sheriff's Office,Sheriff's office,NE,Custer,Broken Bow,68822
South Harrison Township Police,Local police department,NJ,Gloucester,Harrisonville,08039
Minerva Park Police Department,Local police department,OH,Franklin,Columbus,43231
Tazewell Police Department,Local police department,TN,Claiborne,Tazewell,37879
Marshall County Sheriff's Office,Sheriff's office,OK,Marshall,Madill,73446
Lancaster Police Department,Local police department,NH,Coos,Lancaster,03584
Covert Township Police Department,Local police department,MI,Van Buren,Covert,49043
Oakridge Police Department,Local police department,OR,Lane,Oakridge,97463
Cotton County Sheriff's Office,Sheriff's office,OK,Cotton,Walters,73572
Eatonville Police Department,Local police department,WA,Pierce,Eatonville,98328
Mississippi County Sheriff's Office,Sheriff's office,MO,Mississippi,Charleston,63834
Holden Police Department,Local police department,MO,Johnson,Holden,64040
Meeker Police Department,Local police department,CO,Rio Blanco,Meeker,81641
Auburn Police Dept,Local police department,NE,Nemaha,Auburn,68305
Penbrook Borough Police Department,Local police department,PA,Dauphin,Harrisburg,17103
Orofino Police Department,Local police department,ID,Clearwater,Orofino,83544
Crane Police Department,Local police department,TX,Crane,Crane,79731
Clarke County Sheriff's Office,Sheriff's office,IA,Clarke,Osceola,50213
Barnes County Sheriff's Office,Sheriff's office,ND,Barnes,Valley City,58072
Clinton Police Department,Local police department,WI,Rock,Clinton,53525
Winnebago County Sheriff's Office,Sheriff's office,IA,Winnebago,Forest City,50436
Smithton Police Department,Local police department,IL,St. Clair,Smithton,62285
Avalon Borough Police Department,Local police department,PA,Allegheny,Pittsburgh,15202
Mount Carmel Police Department,Local police department,TN,Hawkins,Mount Carmel,37645
Wellsboro Borough Police Department,Local police department,PA,Tioga,Wellsboro,16901
Manchester Police Department,Local police department,MD,Carroll,Manchester,21102
Lytle Police Department,Local police department,TX,Atascosa,Lytle,78052
University of Wisconsin - La Crosse Police,Special jurisdiction,WI,La Crosse,La Crosse,54601
Peshtigo Police Department,Local police department,WI,Marinette,Peshtigo,54157
Vine Grove Police Department,Local police department,KY,Hardin,Vine Grove,40175
Colby-Abbotsford Police Department,Local police department,WI,Clark,Abbotsford,54405
Leroy Police Dept,Local police department,IL,McLean,Leroy,61752
Pleasant Ridge Police Department,Local police department,MI,Oakland,Pleasant Ridge,48069
Society Hill Police Department,Local police department,SC,Darlington,Society Hill,29593
Council Grove Police Department,Local police department,KS,Morris,Council Grove,66846
Tawas Police Authority,Local police department,MI,Iosco,East Tawas,48730
Cuba Police Department,Local police department,NM,Sandoval,Cuba,87013
Roosevelt Park Police Department,Local police department,MI,Muskegon,Muskegon,49441
Wesleyville Borough Police Department,Local police department,PA,Erie,Erie,16510
Marietta Police Department,Local police department,OK,Love,Marietta,73448
Ralls County Sheriff's Office,Sheriff's office,MO,Ralls,New London,63459
Stevens County Sheriff's Office,Sheriff's office,MN,Stevens,Morris,56267
Warsaw Village Police Department,Local police department,NY,Wyoming,Warsaw,14569
Vernonia Police Department,Local police department,OR,Columbia,Vernonia,97064
Everson Police Department,Local police department,WA,Whatcom,Everson,98247
Moniteau County Sheriff's Office,Sheriff's office,MO,Moniteau,California,65018
Halstead Police Department,Local police department,KS,Harvey,Halstead,67056
Duquesne Police Department,Local police department,MO,Jasper,Joplin,64801
Chewelah Police Department,Local police department,WA,Stevens,Chewelah,99109
Philippi Police Department,Local police department,WV,Barbour,Philippi,26416
Monticello Police Department,Local police department,MS,Lawrence,Monticello,39654
University of West Alabama Police,Special jurisdiction,AL,Sumter,Livingston,35470
South Fulton Police Department,Local police department,TN,Obion,South Fulton,38257
Columbus Police Department,Local police department,NC,Polk,Columbus,28722
Osceola Police Department,Local police department,WI,Polk,Osceola,54020
Davison County Sheriff's Office,Sheriff's office,SD,Davison,Mitchell,57301
Northampton County Detectives,Special jurisdiction,PA,Northampton,Easton,18042
Bourbon County Sheriff's Office,Sheriff's office,KS,Bourbon,Fort Scott,66701
Oak Grove Police Department,Local police department,LA,West Carroll,Oak Grove,71263
Granville Village Police Department,Local police department,NY,Washington,Granville,12832
Stanton Police Department,Local police department,KY,Powell,Stanton,40380
Seymour Police Dept,Local police department,MO,Webster,Seymour,65746
Long Prairie Police Department,Local police department,MN,Todd,Long Prairie,56347
Aldan Borough Police Department,Local police department,PA,Delaware,Aldan,19018
Huxley Police Department,Local police department,IA,Story,Huxley,50124
Tipton Police Department,Local police department,IA,Cedar,Tipton,52772
Pittsfield Police Dept,Local police department,IL,Pike,Pittsfield,62363
Holland Township Police,Local police department,NJ,Hunterdon,Milford,08848
Leland Grove Police Dept,Local police department,IL,Sangamon,Springfield,62704
Denton Police Department,Local police department,NC,Davidson,Denton,27239
Red Bud Police Dept,Local police department,IL,Randolph,Red Bud,62278
Minster Police Department,Local police department,OH,Auglaize,Minster,45865
Pawhuska Police Department,Local police department,OK,Osage,Pawhuska,74056
Flandreau Police Department,Local police department,SD,Moody,Flandreau,57028
Greenwich Village Police Department,Local police department,NY,Washington,Greenwich,12834
Cooperstown Village Police Department,Local police department,NY,Otsego,Cooperstown,13326
Milton Police Department,Local police department,WV,Cabell,Milton,25541
West Liberty Police Department,Local police department,IA,Muscatine,West Liberty,52776
West Amwell Township Police,Local police department,NJ,Hunterdon,Lambertville,08530
Lone Star Police Department,Local police department,TX,Morris,Lone Star,75668
Grundy Police Department,Local police department,VA,Buchanan,Grundy,24614
Tiptonville Police Department,Local police department,TN,Lake,Tiptonville,38079
Radford (City) Sheriff's Office,Sheriff's office,VA,Radford City,Radford,24143
Pequot Lakes Police Department,Local police department,MN,Crow Wing,Pequot Lakes,56472
